client_id,round_number,hierarchy,num_samples,set,accuracy,loss
f0014_19,0,,379,test,0.02631578947368421,4.134948253631592
f0015_48,0,,371,test,0.0,4.118119239807129
f0022_10,0,,335,test,0.029411764705882353,4.133211135864258
f0023_08,0,,246,test,0.0,4.125855922698975
f0120_29,0,,302,test,0.0,4.1486945152282715
f0169_09,0,,229,test,0.0,4.132812023162842
f0175_47,0,,330,test,0.0,4.143929958343506
f0188_36,0,,402,test,0.024390243902439025,4.116196155548096
f0197_34,0,,417,test,0.023809523809523808,4.118757247924805
f0211_26,0,,409,test,0.024390243902439025,4.129034042358398
f0232_28,0,,287,test,0.034482758620689655,4.129208564758301
f0240_02,0,,253,test,0.0,4.129806041717529
f0265_39,0,,379,test,0.02631578947368421,4.107452392578125
f0290_29,0,,355,test,0.05555555555555555,4.1062469482421875
f0296_20,0,,398,test,0.0,4.1320881843566895
f0308_10,0,,325,test,0.0,4.142168998718262
f0312_43,0,,417,test,0.023809523809523808,4.12396240234375
f0313_43,0,,333,test,0.029411764705882353,4.121296405792236
f0335_14,0,,428,test,0.023255813953488372,4.129887580871582
f0367_33,0,,368,test,0.0,4.14407205581665
f0379_10,0,,419,test,0.0,4.154082298278809
f0386_15,0,,221,test,0.0,4.132666110992432
f0412_26,0,,316,test,0.03125,4.122796535491943
f0443_21,0,,59,test,0.0,4.1556854248046875
f0455_26,0,,233,test,0.0,4.143660545349121
f0466_11,0,,402,test,0.0,4.122853755950928
f0476_07,0,,112,test,0.0,4.119451999664307
f0519_46,0,,395,test,0.0,4.114437103271484
f0560_16,0,,232,test,0.08333333333333333,4.132304668426514
f0567_25,0,,321,test,0.0,4.127720355987549
f0575_25,0,,309,test,0.06451612903225806,4.1208271980285645
f0602_16,0,,352,test,0.05555555555555555,4.107648849487305
f0609_12,0,,332,test,0.11764705882352941,4.10901403427124
f0648_23,0,,378,test,0.0,4.14145565032959
f0660_10,0,,397,test,0.0,4.128121376037598
f0662_29,0,,313,test,0.03125,4.121697902679443
f0695_31,0,,368,test,0.05405405405405406,4.120067119598389
f0712_09,0,,353,test,0.0,4.109022617340088
f0752_25,0,,315,test,0.03125,4.113486289978027
f0778_20,0,,360,test,0.0,4.12831974029541
f0783_27,0,,388,test,0.07692307692307693,4.134270668029785
f0786_07,0,,257,test,0.0,4.118602275848389
f0815_12,0,,408,test,0.0,4.132811546325684
f0819_13,0,,339,test,0.0,4.119924545288086
f0822_30,0,,4,test,0.0,4.152923107147217
f0828_34,0,,332,test,0.058823529411764705,4.110333442687988
f0848_42,0,,150,test,0.06666666666666667,4.128962993621826
f0893_25,0,,361,test,0.0,4.132345199584961
f0915_03,0,,332,test,0.0,4.125584125518799
f0924_33,0,,246,test,0.0,4.118675708770752
f0946_31,0,,305,test,0.0,4.128702163696289
f0985_44,0,,277,test,0.0,4.126010417938232
f0995_43,0,,336,test,0.029411764705882353,4.104968547821045
f1031_37,0,,362,test,0.02702702702702703,4.131486892700195
f1063_36,0,,376,test,0.0,4.121962070465088
f1073_05,0,,231,test,0.0,4.141693115234375
f1102_33,0,,119,test,0.16666666666666666,4.105100154876709
f1110_03,0,,77,test,0.0,4.1115522384643555
f1113_16,0,,336,test,0.0,4.132652759552002
f1119_27,0,,264,test,0.037037037037037035,4.135083198547363
f1197_00,0,,80,test,0.0,4.156049728393555
f1211_04,0,,379,test,0.0,4.125997543334961
f1240_01,0,,310,test,0.0967741935483871,4.10967493057251
f1250_24,0,,233,test,0.0,4.114198207855225
f1256_05,0,,235,test,0.0,4.125102519989014
f1273_29,0,,315,test,0.0,4.127343654632568
f1275_19,0,,301,test,0.03225806451612903,4.128182411193848
f1289_06,0,,302,test,0.0,4.131232738494873
f1346_08,0,,170,test,0.058823529411764705,4.1053147315979
f1353_42,0,,141,test,0.0,4.152191638946533
f1370_48,0,,249,test,0.0,4.121196269989014
f1380_34,0,,290,test,0.034482758620689655,4.1146135330200195
f1407_18,0,,193,test,0.05,4.108241081237793
f1413_14,0,,284,test,0.0,4.110815048217773
f1446_25,0,,281,test,0.13793103448275862,4.111074447631836
f1450_34,0,,353,test,0.0,4.126768112182617
f1465_32,0,,269,test,0.037037037037037035,4.115018367767334
f1478_41,0,,304,test,0.0,4.137610912322998
f1497_28,0,,336,test,0.029411764705882353,4.132168769836426
f1501_00,0,,161,test,0.0,4.136704921722412
f1521_17,0,,148,test,0.0,4.134294033050537
f1567_20,0,,174,test,0.05555555555555555,4.094531536102295
f1583_41,0,,181,test,0.05263157894736842,4.106764793395996
f1593_46,0,,148,test,0.06666666666666667,4.12422513961792
f1599_48,0,,114,test,0.0,4.136551380157471
f1605_44,0,,89,test,0.0,4.131917953491211
f1613_27,0,,173,test,0.0,4.134976863861084
f1620_12,0,,145,test,0.0,4.144898414611816
f1640_48,0,,170,test,0.0,4.106661319732666
f1648_00,0,,151,test,0.0,4.157020092010498
f1667_29,0,,165,test,0.0,4.130818843841553
f1688_24,0,,120,test,0.0,4.114806175231934
f1693_00,0,,166,test,0.0,4.119070529937744
f1702_13,0,,167,test,0.0,4.119319915771484
f1740_04,0,,171,test,0.0,4.119747161865234
f1780_04,0,,108,test,0.0,4.129700183868408
f1787_36,0,,151,test,0.0,4.131191253662109
f1859_39,0,,108,test,0.0,4.1381001472473145
f1860_06,0,,134,test,0.0,4.148285865783691
f1864_10,0,,132,test,0.0,4.129622936248779
f1879_44,0,,147,test,0.06666666666666667,4.137249946594238
f1906_16,0,,173,test,0.0,4.137319564819336
f1907_22,0,,166,test,0.0,4.126948833465576
f1912_13,0,,169,test,0.0,4.103396415710449
f2012_46,0,,166,test,0.0,4.13412618637085
f2018_05,0,,160,test,0.0,4.115706443786621
f2062_39,0,,137,test,0.0,4.148056983947754
f2083_33,0,,159,test,0.0,4.117284774780273
f2088_14,0,,171,test,0.05555555555555555,4.112334251403809
f2127_59,0,,164,test,0.0,4.128607273101807
f2129_55,0,,178,test,0.05555555555555555,4.114587306976318
f2175_59,0,,150,test,0.0,4.1542205810546875
f2176_64,0,,159,test,0.0,4.160712242126465
f2186_55,0,,172,test,0.0,4.1522040367126465
f2202_76,0,,139,test,0.0,4.1403727531433105
f2210_96,0,,5,test,0.0,4.07085657119751
f2235_81,0,,5,test,0.0,4.041254997253418
f2261_76,0,,173,test,0.05555555555555555,4.102746486663818
f2287_60,0,,174,test,0.0,4.156543731689453
f2288_58,0,,157,test,0.0,4.099647521972656
f2316_50,0,,159,test,0.0,4.11960506439209
f2333_98,0,,168,test,0.0,4.128881931304932
f2339_76,0,,176,test,0.0,4.1171183586120605
f2365_62,0,,166,test,0.0,4.132815837860107
f2369_56,0,,178,test,0.0,4.106392860412598
f2370_67,0,,177,test,0.0,4.113729000091553
f2381_54,0,,155,test,0.0,4.096740245819092
f2388_79,0,,174,test,0.0,4.130895614624023
f2393_90,0,,177,test,0.0,4.137181758880615
f2417_81,0,,173,test,0.0,4.137058734893799
f2486_95,0,,150,test,0.0,4.153962135314941
f2502_59,0,,32,test,0.0,4.049920082092285
